# Program:featureCounts v2.0.1; Command:"/u/home/s/samdemar/tools/Subread/subread-2.0.1-source/bin/featureCounts" "-F" "GFF" "-a" "/u/home/s/samdemar/refrencegenomes/AnnotationFiles/Saccharomyces_cerevisiae.R64-1-1.104.gtf" "-o" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/Counts/counts.txt" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_1YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_2YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_3YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_1YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_2YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_3YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_1YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_2YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_3YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_1_YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_2_YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_3_YPD_1.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_1YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_2YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_3YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_1YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_2YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_3YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_1YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_2YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_3YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_1_YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_2_YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_3_YPD_1.fq.gz.bam
YDR299W	IV	1059627	1061231	+	1605	3537	2831	2784	3381	3388	4074	2632	2298	2123	4339	5435	2604
YDL015C	IV	426002	426934	-	933	13902	14307	13263	15158	15450	15734	16437	13475	14868	14024	15238	13111
YDR304C	IV	1071880	1072557	-	678	18497	19543	17200	16915	16598	17517	19233	15899	16818	15116	15603	16427
YDR271C	IV	1008395	1008766	-	372	3	3	1	2	0	3	2	3	6	1	0	0
YDL181W	IV	135179	135436	+	258	1340	1367	988	1763	1591	1476	1831	1619	1703	649	637	902
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	2440	2747	2555	3090	2910	3104	3131	2700	2682	2759	2984	2931
YDR085C	IV	614288	616150	-	1863	2069	2084	1978	3847	3928	4246	4894	3785	3837	1470	1437	1782
YDL097C	IV	285391	286695	-	1305	13784	14194	13132	12630	12961	13635	15143	12704	12932	11501	11771	12160
YDL139C	IV	211375	212046	-	672	854	743	587	941	791	1098	1465	1122	1190	544	543	556
YDR200C	IV	854279	856093	-	1815	2273	2250	2026	2154	2000	2285	2172	1804	2085	2084	2012	2048
YDR191W	IV	842337	843449	+	1113	382	366	358	471	464	531	551	306	344	415	421	438
YDR451C	IV	1361120	1362181	-	1062	971	1083	921	1381	1279	1293	2657	1701	1878	1409	1607	1562
YDR469W	IV	1399015	1399542	+	528	1579	1701	1656	2515	2318	2480	2582	2116	2122	1988	2049	1799
YDR470C	IV	1399706	1401214	-	1509	2231	2284	2311	2503	2478	2574	3382	2657	2475	1833	1937	2107
YDR105C	IV	665349	666770	-	1422	6296	6128	5375	5653	5472	5760	7099	6150	6301	4430	4678	5075
YDR483W	IV	1421157	1422485	+	1329	24557	26189	23803	26803	25745	26495	26597	21947	23979	25809	26678	23997
YDL123W	IV	241418	241840	+	423	770	784	727	1423	1342	1505	1985	1675	1654	462	554	444
YDL199C	IV	101290	103353	-	2064	1133	1267	1080	1270	1168	1280	1750	1252	1328	759	671	1070
YDR505C	IV	1456695	1459220	-	2526	7113	7159	6400	6517	6186	6987	7364	5832	6461	5655	5394	6703
YDL045W-A	IV	372248	372535	+	288	1745	1777	1434	1712	1444	1853	1779	1161	1319	1670	1602	1960
YDL045C	IV	372688	373608	-	921	2753	2567	2593	2577	2204	2692	2887	2108	2369	2146	2186	2491
YDR361C	IV	1195412	1196263	-	852	7190	7213	6596	11368	11426	11875	13043	10736	12372	7377	7662	5055
YDR406W-A	IV	1283799	1284044	+	246	0	0	1	1	0	0	2	0	4	0	1	6
YDR199W	IV	854175	854540	+	366	14	15	19	17	20	7	13	14	8	5	15	8
YDR266C	IV	1000104	1002023	-	1920	3452	3177	2960	3381	3692	3759	3783	2871	3028	4284	3882	3306
YDL242W	IV	18959	19312	+	354	287	315	240	1215	970	1085	2142	1884	1820	175	199	240
YDR002W	IV	453045	453650	+	606	40006	41762	36513	39217	38807	40507	44809	36171	39684	38278	38237	37541
YDR214W	IV	892875	893927	+	1053	29776	34545	26492	20163	20160	20441	48886	43360	46992	13855	13211	14984
YDR130C	IV	715747	716622	-	876	1736	1703	1563	2648	2378	2696	3162	2546	2640	1626	1657	1515
YDL176W	IV	142097	144223	+	2127	1678	1765	1558	2387	2321	2534	2448	1771	1995	2017	2144	1858
YDR358W	IV	1190059	1191732	+	1674	5069	5630	5072	4278	3788	4306	6274	5517	6246	2979	2864	4291
YDR544C	IV	1525095	1525523	-	429	4	11	4	3	2	4	20	17	15	2	1	2
YDR460W	IV	1383811	1384776	+	966	2196	1977	1846	1867	1711	1725	3027	2311	2316	1392	1720	1469
snR84	IV	1492477	1493026	-	550	29756	32372	30315	39488	41638	42699	29507	25122	27575	44582	49839	42644
YDR034W-B	IV	521314	521469	+	156	1021	998	1007	482	515	570	1043	541	530	313	437	405
YDL028C	IV	400997	403291	-	2295	2501	2754	2496	2509	2267	2482	2582	2262	2195	3186	3216	2930
YDR061W	IV	574164	575783	+	1620	4010	3996	3759	4743	4485	4830	5241	4237	4165	3804	4341	4032
YDR060W	IV	570649	573726	+	3078	22839	20091	19102	22725	23159	25778	18923	15656	16850	33831	34265	21288
YDR169C-A	IV	794574	794723	-	150	489	461	415	210	199	228	1215	1146	1055	103	98	109
YDR363W	IV	1199183	1200553	+	1371	2018	1669	1568	3192	2921	2993	2623	2122	2250	1719	1923	1641
YDR422C	IV	1315326	1317773	-	2448	4721	4953	4255	4279	4221	4559	5610	4487	4877	4763	4708	4021
YDR119W	IV	688227	690533	+	2307	16438	16754	15260	14315	13834	14805	16920	14179	14511	15540	15998	14020
tR(ACG)D	IV	619969	620041	-	73	3	1	8	2	2	6	0	4	4	6	2	0
YDR097C	IV	640109	643837	-	3729	7912	7418	6793	7367	7505	8125	6875	5311	6016	7889	8291	7034
YDR042C	IV	540601	541203	-	603	3872	4263	3915	304	363	372	5136	4381	4613	225	225	186
YDL160C	IV	170410	171930	-	1521	15211	15672	13530	12111	12269	12450	15208	11988	13482	15029	15895	13521
YDR425W	IV	1320064	1321941	+	1878	1301	1143	1162	1142	1044	1103	1605	1197	1293	958	926	1095
snR13	IV	1402919	1403042	+	124	11745	14662	14545	500	345	499	14389	15355	13524	608	674	644
YDR228C	IV	921926	923806	-	1881	3814	3975	3599	3704	3502	3686	5176	4234	4344	3050	2813	2388
YDR319C	IV	1105003	1105827	-	825	3567	3388	3069	3335	3103	3533	4011	3442	3573	2104	2412	2490
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	98329	103789	93262	98923	105934	105400	93672	84476	91359	109454	124834	96911
YDR089W	IV	622112	624721	+	2610	4656	7496	5166	5389	4378	3504	9562	7712	7601	5558	3937	6193
tD(GUC)D	IV	568964	569035	+	72	2	0	2	0	0	0	2	2	2	1	2	0
YDR275W	IV	1012252	1012959	+	708	2068	1909	1573	2522	2476	2624	2452	1826	1916	1413	1530	1153
YDR043C	IV	542674	543369	-	696	3759	3155	2968	1901	2126	2527	3408	3305	3648	2870	2775	1723
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	35183	34688	31453	28569	28741	30471	34647	27180	29582	27207	29636	28392
YDR136C	IV	727711	728283	-	573	505	413	374	70	59	55	760	699	693	27	25	10
YDL066W	IV	334835	336121	+	1287	18253	18917	16880	22112	21675	22445	22185	17708	18684	18315	17920	17492
YDR302W	IV	1067731	1068390	+	660	1994	2388	2131	2378	2216	2395	2251	1954	1778	2625	2862	2639
YDR239C	IV	941057	943420	-	2364	2667	2432	2374	2327	2357	2824	2963	2195	2341	2338	2568	2054
YDR539W	IV	1512094	1513605	+	1512	1471	1286	1149	5520	5513	5904	4622	3594	4074	2694	2920	2665
tK(CUU)D1	IV	1201750	1201822	+	73	3	6	2	5	2	3	12	7	8	0	5	5
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	19035	19997	19192	21758	22306	22236	29376	25404	27544	16095	17409	17092
YDR493W	IV	1436217	1436588	+	372	1671	1723	1628	1305	1033	1173	1890	1758	1701	954	1035	1144
YDR101C	IV	655686	657467	-	1782	10811	9895	9636	10467	11748	12107	6474	6108	5933	15877	19346	9536
YDR182W-A	IV	829151	829354	+	204	181	223	219	201	203	243	621	547	570	75	98	81
YDR212W	IV	887232	888911	+	1680	27308	28325	25963	24597	24564	25945	28015	22736	24192	27086	28226	24838
YDR476C	IV	1410453	1411127	-	675	4140	4184	3772	3881	4087	4253	6194	4911	5236	2361	3127	2821
YDL131W	IV	227393	228715	+	1323	8216	8316	7880	7325	9074	8678	8941	7498	8026	8972	8817	7923
YDR458C	IV	1380055	1382046	-	1992	5703	5801	5411	6534	6250	6914	6630	5067	5573	5265	5129	5338
YDR081C	IV	607304	610081	-	2778	3569	3542	3214	3420	3440	3746	3466	2829	3067	3930	4083	3301
YDL071C	IV	330666	331040	-	375	433	435	363	432	375	465	773	684	692	191	219	149
YDR113C	IV	680496	681617	-	1122	1778	1735	1616	1393	1516	1614	2536	2070	2233	1756	1782	1734
YDR168W	IV	790328	791848	+	1521	14053	14535	13121	12488	12645	13250	15216	12298	13226	11442	11359	12598
YDR520C	IV	1481085	1483403	-	2319	1534	1472	1386	1955	1878	2021	2894	2066	2178	1486	1694	1329
YDR307W	IV	1075865	1077853	+	1989	3614	3702	3532	4720	4848	5103	5477	4668	4959	3765	3945	3925
YDR265W	IV	998864	999877	+	1014	2180	2077	2053	6288	5718	6515	7261	5697	6167	1474	1628	1722
YDL076C	IV	320668	321552	-	885	2789	2875	2810	3698	3284	3631	4173	3318	3584	2278	2324	2530
YDL006W	IV	439909	440754	+	846	2671	2482	2390	2354	2405	2594	2628	2182	2199	2327	2416	2229
YDL086W	IV	301413	302234	+	822	1168	1309	1196	1429	1425	1557	1822	1585	1641	1033	1018	1113
YDR238C	IV	937895	940816	-	2922	32811	33181	30439	29512	30264	31271	29880	24340	25793	36746	36377	34275
YDR077W	IV	600793	601809	+	1017	29334	29162	27147	23808	22205	23884	27755	20126	19817	25904	26284	32714
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	1434	1703	1463	1836	1633	1785	2211	1920	1901	1027	969	1272
YDL023C	IV	411761	412081	-	321	29	30	14	23	14	14	40	29	16	12	12	13
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	147901	162995	137879	154281	164017	160702	142890	123474	139217	171450	182137	158662
YDR036C	IV	523211	524713	-	1503	3553	3711	3294	3503	3359	3549	4195	3134	3349	3302	3494	3316
YDR057W	IV	565927	567555	+	1629	2379	2241	2066	2960	2864	3019	3038	2619	2468	1746	1843	1900
YDR513W	IV	1471017	1471448	+	432	5445	6435	5781	6026	5759	5635	6214	5650	6372	5693	5096	6674
YDR487C	IV	1428354	1428980	-	627	10954	11941	11117	11583	11234	12160	13024	10814	11293	11065	12355	11565
YDR066C	IV	581908	582498	-	591	633	516	581	1208	1143	1072	1274	864	1019	628	631	624
YDR352W	IV	1181801	1182754	+	954	2843	2985	2860	3708	3621	3886	4396	3831	3984	2993	3222	2331
YDR278C	IV	1017001	1017318	-	318	0	6	2	0	1	8	26	16	9	1	1	0
YDR079C-A	IV	603593	603811	-	219	1483	1693	1477	2150	1912	1965	2698	2233	2657	1142	1148	1101
YDR204W	IV	858137	859144	+	1008	3671	4046	3516	3429	3366	3853	4690	3950	4125	2389	2456	2940
YDL247W-A	IV	3762	3836	+	75	234	267	233	627	629	587	843	562	701	127	93	124
YDL024C	IV	408451	409857	-	1407	217	185	179	610	662	603	585	459	470	120	108	123
tA(AGC)D	IV	410379	410451	+	73	3	2	3	0	3	2	14	5	6	2	1	1
YDR109C	IV	673520	675667	-	2148	2012	1950	1689	4081	3816	4471	4361	3608	3921	1647	1821	1704
YDR466W	IV	1395121	1397817	+	2697	4031	3477	3361	4454	4194	4788	5387	4345	4434	3441	3433	3268
YDR427W	IV	1322205	1323386	+	1182	10715	11354	10371	10074	9664	10774	12838	10403	11736	9528	9550	10068
YDL044C	IV	373967	375289	-	1323	1088	1155	1036	1509	1265	1509	1798	1425	1370	912	911	1018
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	1457	1482	1313	3496	3413	3584	5209	4285	4984	800	918	760
YDR193W	IV	844554	844952	+	399	1	4	0	12	8	8	18	4	3	0	0	4
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	2924	3362	3022	2695	2625	2688	4481	3816	3958	1894	2026	2199
YDR377W	IV	1228611	1228916	+	306	4546	4627	4231	5517	5368	5585	5542	5039	5061	4407	4802	4326
YDR219C	IV	905455	906852	-	1398	2697	2604	2461	2372	2439	2534	2624	2011	2162	2554	2732	2409
YDR416W	IV	1298432	1301011	+	2580	4946	4904	4791	3071	3318	3453	5963	5021	5187	3538	3781	3240
YDR365C	IV	1204497	1206383	-	1887	20679	18743	17206	52911	53887	56509	62851	51453	55563	20443	21045	16184
YDL233W	IV	36797	38173	+	1377	1300	1183	1005	1025	1040	1270	1559	1031	1107	1156	1227	977
YDR287W	IV	1035995	1036873	+	879	1547	1700	1591	2474	2424	2617	3078	2429	2592	1251	1380	1512
YDR448W	IV	1356065	1357369	+	1305	2388	2345	2176	2075	1973	2224	2863	2368	2513	2190	2151	1843
YDR180W	IV	821295	825776	+	4482	4934	4548	4399	4879	4550	5427	4434	3398	3466	5845	6209	4946
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	6	21	15	15	3	4	13	22	12	10	19	8
tT(AGU)D	IV	434264	434336	-	73	4	5	4	8	3	4	8	6	9	1	1	5
YDR294C	IV	1050459	1052228	-	1770	7081	6714	6133	5887	5865	6442	7392	5739	6261	5902	5562	5522
YDR198C	IV	852533	853972	-	1440	2013	1812	1658	2890	2826	3178	2797	2211	2304	1659	2220	1464
YDL163W	IV	166956	167258	+	303	0	0	0	0	0	0	0	0	0	0	0	0
YDL119C	IV	246689	247612	-	924	775	666	762	935	883	995	1161	855	948	516	629	720
YDR501W	IV	1451353	1452918	+	1566	550	565	489	2072	1626	1916	1889	1415	1312	647	641	698
YDL214C	IV	74446	76545	-	2100	707	719	698	1478	1404	1414	4546	3469	3493	262	311	184
YDR264C	IV	996029	998323	-	2295	14152	15611	13912	16285	16291	17674	19331	15042	15757	11264	12353	12219
YDR343C	IV	1159608	1161320	-	1713	3155	2050	2005	2516	2260	2489	2949	2637	2396	961	888	876
YDR373W	IV	1222759	1223331	+	573	3596	4069	3466	4166	3796	4302	4546	3772	3869	3063	3111	3374
YDR354W	IV	1184747	1185889	+	1143	3188	3158	2917	3699	3692	3637	3517	2872	3003	3257	3551	3340
YDR246W	IV	954288	954947	+	660	1440	1409	1319	1094	1104	1163	2062	1810	1901	816	1027	834
YDR428C	IV	1323454	1324239	-	786	904	993	832	2353	2003	2127	2420	2135	2301	1349	1395	1337
YDR157W	IV	769931	770332	+	402	211	268	216	57	48	42	482	466	418	51	40	52
YDR316W	IV	1093763	1095178	+	1416	2376	2336	2025	2579	2280	2656	2864	2069	2182	2305	2470	2392
YDL142C	IV	201719	202570	-	852	1948	2082	1895	2070	1947	2033	2465	2160	2184	1510	1660	1778
YDR253C	IV	963990	964565	-	576	506	582	482	851	843	829	1042	921	918	403	406	395
YDL112W	IV	258915	263225	+	4311	12109	11613	10666	10375	11489	11656	9813	7870	8293	17267	16589	10312
YDR545W	IV	1526321	1531711	+	5391	9829	9993	8573	17921	18250	19706	16479	12042	12755	8554	8499	8417
YDL187C	IV	125509	125838	-	330	8	16	13	20	20	21	93	80	95	4	2	2
YDL138W	IV	213351	215642	+	2292	2483	2852	2482	3092	2782	3223	5285	4098	4343	2043	1963	2094
YDR528W	IV	1494586	1495857	+	1272	384	334	295	460	313	327	477	258	237	741	778	577
YDR284C	IV	1030550	1031419	-	870	3753	3826	3548	4164	3917	4383	5316	4572	5124	3828	3804	3970
YDR050C	IV	555726	556472	-	747	142844	163572	150812	145757	145061	147319	157956	134438	144189	162957	176046	175168
YDL010W	IV	432330	433025	+	696	858	735	698	862	794	969	1198	989	953	451	481	569
YDL065C	IV	336249	337277	-	1029	3829	3372	3012	3269	2984	3450	3940	3083	2835	2854	2920	3166
YDR349C	IV	1172386	1174176	-	1791	9543	9295	8308	11663	11598	12129	14843	11173	12241	7533	8314	7120
YDL098C	IV	284581	285165	-	585	1225	1214	968	1740	1611	1785	1688	1373	1402	958	1265	1004
YDL234C	IV	34237	36477	-	2241	21471	17841	18869	14022	13649	17024	17879	11621	11724	9668	11574	12767
YDR118W	IV	685882	687840	+	1959	2328	2125	2001	2377	2325	2599	3952	3277	3627	1612	1782	1687
YDR118W-A	IV	687768	687884	+	117	47	35	47	60	56	44	94	84	89	37	27	32
YDR159W	IV	771877	775782	+	3906	4731	4557	4116	5097	5104	5183	5570	4061	4090	4793	4405	4222
YDR111C	IV	678241	679764	-	1524	3081	2966	2657	3126	3493	3651	3992	3225	3595	2939	3315	2299
YDR128W	IV	709549	712995	+	3447	8295	7679	6901	8342	8246	9172	8706	6924	6715	7908	8750	7557
YDL034W	IV	391783	392127	+	345	210	191	207	163	161	191	279	257	203	250	209	242
YDR065W	IV	580687	581784	+	1098	1170	1158	1048	2248	1905	2319	2647	1909	2345	796	922	747
YDL004W	IV	443029	443511	+	483	6667	6606	5807	6775	6944	6671	6063	5356	5762	5897	6453	5917
YDR024W	IV	491017	491502	+	486	73	133	128	150	143	170	149	145	129	149	115	123
YDL171C	IV	149203	155640	-	6438	99446	92500	89699	72169	78337	77815	96816	74298	77797	95103	90792	70959
YDR083W	IV	612073	613251	+	1179	5796	5192	5015	5903	6052	6834	4244	3870	3843	8648	9296	5869
YDR457W	IV	1369790	1379596	+	9807	47312	45554	41959	38541	41380	43639	47157	33740	35809	46708	45475	43070
YDR014W	IV	474046	475989	+	1944	1339	1418	1312	2099	1881	2355	2335	1971	1881	1196	1312	1203
YDR206W	IV	862054	864708	+	2655	7870	8275	7340	20962	21812	22149	20893	17713	18856	8709	9415	7285
YDR478W	IV	1414575	1415171	+	597	772	572	518	1269	1303	1374	1407	1082	1219	697	698	587
YDR169C	IV	792348	793889	-	1542	2047	1813	1622	1681	1858	2153	1946	1432	1427	1805	1694	1728
YDR115W	IV	682175	682492	+	318	1535	1566	1456	1864	1631	1775	1884	1462	1524	1308	1744	1888
YDL159W-A	IV	172182	172313	+	132	344	490	403	531	507	410	584	457	617	512	550	498
YDL232W	IV	38487	38597	+	111	4496	4894	4304	5400	5328	4747	5094	4789	4850	4316	4811	4965
YDL240C-A	IV	22471	22608	-	138	17	25	28	40	28	45	102	70	73	4	11	14
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0	0	0	0	0	0	0	0	0
YDL152W	IV	182822	183187	+	366	2	0	0	5	2	4	5	1	3	1	3	0
YDR432W	IV	1328783	1330027	+	1245	27736	28663	24181	20669	21002	21578	35560	28070	30703	18734	22128	22067
YDL022C-A	IV	409808	410056	-	249	14	12	11	37	20	31	53	66	54	14	9	8
YDL114W-A	IV	254935	255048	+	114	0	0	0	0	2	1	0	1	0	0	0	0
YDR410C	IV	1292372	1293091	-	720	3197	3097	2871	2792	2589	2694	3802	3262	3314	2386	2477	2564
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0	0	0	0	0	0	0	0	0
